1,,Царство,Животные
2,1,Подцарство,Одноклеточные
3,1,Подцарство,Многоклеточные
4,2,Тип,Саркодовые
5,2,Тип,Жгутиконосцы
6,2,Тип,Инфузории
7,3,Тип,Кишечнополостные
8,3,Тип,Плоские черви
9,3,Тип,Круглые черви
10,3,Тип,Кольчатые черви
11,3,Тип,Моллюски
12,3,Тип,Членистоногие
13,3,Тип,Хордовые
14,11,Класс,Брюхоногие
15,11,Класс,Двустворчатые
16,11,Класс,Головоногие
17,12,Класс,Ракообразные
18,12,Класс,Паукообразные
19,12,Класс,Насекомые
20,13,Класс,Хрящевые рыбы
21,13,Класс,Костные рыбы
22,13,Класс,Землеводные
23,13,Класс,Пресмыкающиеся
24,13,Класс,Птицы
25,13,Класс,Млекопитающие
